"","id","name","gauge","op","scene","total"
"2",2,"Bath Green Park","OO",4,"A",9
"23",25,"Numchen","N",6,"C",9
"19",21,"Lakebank","N",4,"B",8
"11",13,"Exeter N-Gauge Main Line","N",4,"C",7
"18",20,"Kingswear","N",2,"A",7
"20",22,"Marrowbone Junction","OO",4,"C",7
"25",27,"RS Tower & Guisburgh Depot","OO",5,"D",7
"33",35,"Trevellyn Bridge","OO9",2,"A",7
"1",1,"Acacia Avenue","OO",2,"B",6
"5",5,"Burnham","OO",2,"B",6
"14",16,"Exe MRS, Okehampton","N",4,"D",6
"24",26,"Penhallick Junction","OO",2,"B",6
"28",30,"Southurst","OO",3,"C",6
"32",34,"Mortimer's Cross","OO9",2,"B",6
"8",8,"Coaley Junction","OO",3,"D",5
"17",19,"Hounslow Sidings","OO",0,"A",5
"21",23,"Marsh Green Road","OO",2,"C",5
"26",28,"Ryan's Mill","O",3,"D",5
"4",4,"Broadford","OO",2,"D",4
"12",14,"Exeter N-Gauge Treleaven's Folly","N",3,"E",4
"13",15,"Exe MRS, DCC demo","OO",3,"E",4
"35",37,"The Junction","N",2,"D",4
"7",7,"Chalworth","O",1,"D",3
"9",9,"Downton Bishop","OO9",2,"E",3
"22",24,"Minster Bottom","N",2,"E",3
"27",29,"St Frazal de Pantalun","N",0,"C",3
"30",32,"Drag Lair","OO9",1,"D",3
"10",10,"Caleford Cr Station","N",0,"D",2
"3",3,"Bodmin North","O",NA,"C",NA
"6",6,"BWD","OO",NA,NA,NA
"15",17,"Fourlaynes 3","N",NA,NA,NA
"16",18,"Fourlaynes 4","N",NA,NA,NA
"29",31,"Dingsdabumster","OO",NA,NA,NA
"31",33,"Lienz","OO",NA,NA,NA
"34",36,"Whimsey","OO",NA,NA,NA
"36",38,"Wychwaye","O",NA,"B",NA
